import,id,machineName,machineId,owner,newOwner,businessGroup,project,datastore,networkName,endpointFQDN,endpointType,cloudTemplateName,deploymentName,deploymentId,deploymentDate,deploymentDescription
yes,7,MS-SQL-SERVER,0f13c7cb-799d-459d-a021-3f042233e94b,configadmin,,vCenter,,NFS-01-500,VMs-01,vcsa8x.corp.local,vsphere,Windows-Salt,Windows Server Build | MS-SQL-SERVER,80699772-ba4d-486f-8d50-34aad8bf18c9,2023-09-04T12:42:24.813777Z,Windows Server Build using VMware Aria Automation. Salt Minion installed at time of Build.
yes,5,WIN-PODE,34060804-9255-43cf-806c-4e091eafcec6,configadmin,,vCenter,,NFS-01-500,VMs-01,vcsa8x.corp.local,vsphere,Windows-Salt,Windows Server Build | WIN-PODE,a13edee5-7594-4bbc-ad45-7ac6c6bcc83e,2023-10-13T14:42:33.146834Z,Windows Server Build using VMware Aria Automation. Salt Minion installed at time of Build.
yes,9,flask,463a5ac7-d717-450b-9b6d-604f708f9ffc,configadmin,,vCenter,,NFS-01-500,VMs-01,vcsa8x.corp.local,vsphere,Ubuntu-20-Salt,Ubuntu Server Build | flask,5dd6626e-19ff-44ee-8cad-5448d0524f7a,2023-10-13T18:49:51.904819Z,
yes,8,LINUX-U-180,3a9f3666-f978-497d-bae6-8639a2093c8d,configadmin,,vCenter,,NFS-01-500,VMs-01,vcsa8x.corp.local,vsphere,Ubuntu-20-Salt-Folders,Ubuntu Server Build | LINUX-U-180,1be91053-395f-4a34-938b-608028d61e70,2023-11-04T15:17:34.791336Z,
yes,6,WIN-19-181,697e1fd0-80b1-4940-a828-1a31ade335d9,configadmin,,vCenter,,NFS-01-500,VMs-01,vcsa8x.corp.local,vsphere,Windows-Salt-ABX-Folders,181,55112c6c-8b05-4cf8-8e43-af451adcdd73,2023-11-04T15:52:41.051907Z,
yes,2,WIN-19-182,f13270a5-cccb-471e-8c1d-430da54621fc,configadmin,,vCenter,,NFS-01-500,VMs-01,vcsa8x.corp.local,vsphere,Windows-Salt-ABX-Folders,182,0c10413d-89ca-42de-8f6a-8990833aa0bc,2023-11-04T16:51:49.407047Z,
yes,3,LINUX-U-170,a0ee4698-9c5e-4b31-9624-8f82785eee48,configadmin,,vCenter,,NFS-01-500,VMs-01,vcsa8x.corp.local,vsphere,Ubuntu-20-Salt-Folders,Ubuntu Server Build | LINUX-U-170,11c0cb55-5edc-488c-a52c-e381269420f2,2023-11-06T14:06:16.023652Z,
yes,4,LINUX-U-171,5c4ea479-08f7-4085-9984-ffd56445470f,configadmin,,vCenter,,NFS-01-500,VMs-01,vcsa8x.corp.local,vsphere,Ubuntu-20-Salt-Folders,Ubuntu Server Build | LINUX-U-171,6de64f28-e729-4622-9397-a43590f65b92,2023-11-06T14:06:42.137120Z,
yes,1,LINUX-U-172,ae23b0cb-c490-4d92-a47c-c96c2285f865,configadmin,,vCenter,,NFS-01-500,VMs-01,vcsa8x.corp.local,vsphere,Ubuntu-20-Salt-Folders,Ubuntu Server Build | LINUX-U-172,293d2911-6c0c-45e0-9cb2-419f303be873,2023-11-06T14:07:20.841417Z,
